Powiaty,Ogółem,Mężczyźni,Kobiety
ropczycko-sędziszowski,74515,36824,37691
rybnicki,78213,38500,39713
rycki,55988,27943,28045
rypiński,43486,21446,22040
rzeszowski,169438,83671,85767
sandomierski,77017,37527,39490
sanocki,94385,46236,48149
sejneński,19914,9927,9987
sępoleński,41056,20514,20542
siedlecki,81362,40920,40442
siemiatycki,44193,21669,22524
sieradzki,117674,57412,60262
sierpecki,51954,25632,26322
skarżyski,73991,35666,38325
skierniewicki,38174,18980,19194
sławieński,56134,27535,28599
słubicki,46929,22973,23956
słupecki,59077,29442,29635
słupski,98686,49288,49398
sochaczewski,85045,41390,43655
sokołowski,53804,26656,27148
sokólski,66686,33018,33668
średzki,55079,27251,27828
średzki,58879,29017,29862
śremski,61425,30154,31271
stalowowolski,106037,51393,54644
starachowicki,89576,43410,46166
stargardzki,120186,58902,61284
starogardzki,128186,63204,64982
staszowski,71776,35523,36253
strzelecki,74300,36161,38139
strzelecko-drezdenecki,49009,24215,24794
strzeliński,43570,21568,22002
strzyżowski,61386,30449,30937
sulęciński,35193,17489,17704
suski,84232,41767,42465
suwalski,35674,18237,17437
świdnicki,156921,75727,81194
świdnicki,71840,34536,37304
świdwiński,46724,23090,23634
świebodziński,55790,27326,28464
świecki,98952,48753,50199
szamotulski,91664,44975,46689
szczecinecki,77630,37774,39856
szczycieński,69376,34304,35072
sztumski,41302,20590,20712
szydłowiecki,39672,19776,19896
tarnobrzeski,52965,26007,26958
tarnogórski,140519,68291,72228
tarnowski,201497,99909,101588
tatrzański,68072,32837,35235
tczewski,115728,56890,58838
tomaszowski,82762,40747,42015
tomaszowski,116519,55831,60688
toruński,108345,53419,54926
trzebnicki,85253,41896,43357
tucholski,48383,24194,24189
turecki,83894,41085,42809
wąbrzeski,34194,16871,17323
wadowicki,160006,78527,81479
wągrowiecki,70233,34841,35392
wałbrzyski,55611,26768,28843
wałecki,53039,25852,27187
warszawski,118613,57022,61591
węgorzewski,22638,11258,11380
węgrowski,65822,32867,32955
wejherowski,217846,107753,110093
wielicki,129136,63040,66096
wieluński,76256,37402,38854
wieruszowski,42105,20845,21260
włocławski,86037,42672,43365
włodawski,38353,18912,19441
włoszczowski,45059,22539,22520
wodzisławski,157088,76405,80683
wołomiński,249299,120100,129199
wołowski,46818,22921,23897
wolsztyński,57446,28310,29136
wrocławski,151385,74111,77274
wrzesiński,77994,38068,39926
wschowski,38831,19150,19681
wysokomazowiecki,56860,28709,28151
wyszkowski,74220,36715,37505
ząbkowicki,64802,31544,33258
żagański,78953,38451,40502
zambrowski,43505,21564,21941
zamojski,106122,52318,53804
żarski,96111,46681,49430
zawierciański,117624,56874,60750
zduńskowolski,66380,32144,34236
zgierski,166113,78878,87235
zgorzelecki,89188,43406,45782
zielonogórski,75559,37243,38316
złotoryjski,43490,21340,22150
